;-5.00_6.00_1.00_NH3+_LJ:;-5.00_6.00_-1.00_NH3+_C:;-6.00_7.00_-3.00_NH3+_LJ:;4.00_-4.00_-5.00_NH3+_LJ:;-9.00_4.00_0.00_NH3+_LJ:;-1.00_1.00_4.00_NH3+_LJ:;-5.00_4.00_-2.00_NH3+_LJ:;-8.00_3.00_-1.00_NH3+_LJ:;-7.00_7.00_-2.00_NH3+_LJ:;-2.00_4.00_0.00_NH3+_LJ:;-3.00_-1.00_5.00_NH3+_LJ:;-3.00_0.00_-2.00_NH3+_LJ:;1.00_-6.00_-1.00_NH3+_C:;-4.00_7.00_-1.00_NH3+_LJ:;-2.00_-6.00_-1.00_NH3+_C:
01_alinhada;-2.586584145483325;48.413335257793285;-1.5157552572026878;-0.41888624900306376;-1.2773400222684606;-4.616691063363333;148.46805060410313;3.563396549083208;-1.1515989105993802;99.90535212559969;-2.9004080531819523;126.08671832119852;-65.4912880510415;-2.5909408463676087;-42.73267730475653
02_alinhada;-2.109652546449364;62.69012794780678;-1.578749634693914;-0.7362398921062141;-1.3000154437212328;-4.022125070936174;146.70317895797996;1.329600371257034;-1.2155977946566197;133.41006540158946;-0.006156259256835662;126.0028222634782;-114.05012825922894;-2.702479328044769;2.0970165717393314
03_alinhada;-0.2805637931556297;74.90410254093194;-1.4647678568095073;-0.5733085053937315;-1.3057159756356982;-3.5410125017784457;144.30638321638546;4.933215889455492;-1.236736000712579;145.25529005979357;-2.4853197881391758;125.62468726522458;-83.02357059262395;50.270754952328616;43.27514618465528
04_alinhada;4.8610353653362415;96.55668637592306;-1.4090679674887976;-1.3476697018767472;-1.910547596891396;-2.9031471759835155;142.35107958692237;134.13668458509693;-1.3030946500663758;149.25446936444408;-1.1072129853187584;125.69758797044737;22.62857664204433;97.52232057777229;90.57537639592562
05_alinhada;7.213259830227816;92.77821113131796;-1.327940128567451;-1.531514473618084;-1.58559984403878;-2.9105761432615087;141.93400655109164;59.606644099087255;-1.2179976877782412;150.43602168402805;-1.0849692478614688;125.80561880143526;-2.258645544843961;107.91491702571196;24.13731138982736
06_alinhada;7.092083449775509;106.77490967827336;-1.4803070379329912;-1.2736017422361352;32.05276160135493;-2.9551284229952013;142.49797800607732;149.52452611668124;-1.4749887654261475;151.19216312144152;-1.1288336424784982;125.9296364241418;45.565896312316134;112.38017976895686;31.074816548604232
07_alinhada;-3.3442041425910114;43.95828705613777;-1.5708815398506537;-0.42045662857075206;-2.054743633512634;-4.656283961057159;148.48576132904745;87.09888338483705;-1.2628561752645424;94.23161734389087;-2.9930651276513984;126.08875456149843;-70.97477743081224;-2.68896761203472;-47.84410019211031
08_alinhada;-2.637909864274161;68.74347411869418;-1.631779760542979;-0.42428344266565104;52.088613431974856;-4.037699048624488;148.0792511619965;137.64138411194492;-1.3852950259564991;95.31292845909005;-2.232838860461324;126.08991972643258;-60.67827903905443;-2.822981735902649;-36.519825341894716
09_alinhada;18.024191449991118;26.10552953440759;-1.6061367450301618;-1.353206469127816;-1.390328920709127;-2.910397959857425;141.80305256779232;17.396627216823916;-0.9801351760493664;150.48084647210158;-1.07526226611037;125.7744499680313;-2.8367924530858417;125.4770905437975;74.04114320755279
10_alinhada;3.847981558077549;3.172314635372029;6.670681603332713;-0.41945335436360015;29.553609547291607;-4.58824296366596;147.83270060795596;135.53782216432643;84.06177861861974;128.260585881419;-2.7716638727509055;126.07347468592232;-63.84520997135805;-3.164134002182453;-43.01285478372184
