;5361_C;560_LJ;567_LJ;854_LJ;1169_LJ;1400_LJ;2478_LJ;2807_LJ
0;-4.172410229818827;-7.592105427349969;-7.634467404805548;-6.81654932845965;-6.647111336941704;-6.5210976865039525;-1.5756077271353397;-2.3943240963035746
1;-3.5139989780517387;-3.627341251242282;-3.6036253418823367;-4.414583608288393;-4.795147697933701;-5.375638436018393;6.421937662120303;-3.1754099961380966
2;-1.6957225390952697;-5.69464961936879;-5.389705948168173;-6.1957443177277955;-6.545190601689828;-9.552092968668275;0.5836782098530954;-0.3842194010477001
3;-2.41886352908007;-1.6791792054366788;-1.3472604398563897;-3.3245726558671302;-4.210143965585573;-1.5360246405075324;-1.1659737589245034;-1.1590871751832494
4;-9.490534101734022;-7.818325852114548;-7.568523894409268;-7.629035764644657;-6.705873126134639;-8.594150657709372;1.819856008537344;4.440397896823244
5;-2.3927280751736135;-5.99469024606721;-5.6204347544048465;-6.990536991528735;-6.707230674183911;-7.938582952800157;1.8910279587109515;38.18640817332386
6;-1.8288697938393232;-3.9728765272528546;-3.3225289144860084;-7.3386130636328755;-7.830238214197569;-9.387859338154863;15.699629148674722;0.4432009145132476
7;0.1461576290659968;-3.0086134900973915;-2.6980627635344554;-4.4963077822625825;-4.719164373242436;-8.656431362918056;-1.2965336916517811;-0.7857272204552215
8;0.18001844374517084;-4.129417067194382;-4.010819617099538;-5.642561376870448;-5.306154446613255;-8.828327813951365;-0.7069947274921534;-0.7850268449117277
9;-0.6122509159526761;-2.109488680110381;-1.9146406978318329;-2.2963390400430943;-1.5952903802145897;-6.337831697752089;-0.7799452658346253;-0.8802815375351731
10;0.10238528319908527;-1.6280749903584852;-1.5514713303909855;-2.648042489510833;-3.2919655708581947;2.4109865268606376;-1.9243670235107488;-1.1390047589176067
11;0.2211629915377024;-5.612487227308419;-5.5439483326493;-5.078273340821374;-4.3898707311455984;-6.872865856712572;-0.2060371163614843;-0.1723800344495698
12;-0.39418600140440463;-2.5317973654943486;-1.7563577406070308;-3.2164651207355934;-4.24924009659859;-6.460049044550433;-0.8547762446520233;-0.8658896691244374
13;1.35152403643898;24.508320309910374;-2.27546210803596;129.88776221535184;20.963742875289547;9.33957796920398;0.1520041444642466;27.18685309822073
14;0.10576081987865472;-1.5869441665235715;-1.5413410767264306;-1.8327495789096;-1.7467883521197731;-4.133741945357087;-2.1820992015391623;-1.7738609448974167
15;0.7291078077792262;-4.762855576891735;-4.060078401587931;-4.591263159886681;1.9698051705279904;28.51156656226193;129.89315629028317;5.868423279795742
16;-0.7825275409123047;-3.395093149589647;-3.2223158664896165;-4.380248926421055;-4.243745323606423;1.7598999623252047;-0.8084560306696941;-1.5803333696421569
17;-1.7913637371178976;-2.6792734473323563;-2.390504710068793;-3.9975992146352817;-3.777828475715367;2.4712536342723896;-1.3546156803230975;-0.7920037142020472
18;-2.4808964757310887;-3.4524761990531228;-3.134485043212502;-4.680340525647289;-4.757680207851437;-3.8219224255815614;-0.5962126805735358;-1.8045593347006712
19;1.3118904344965143;-4.76260323570321;-4.8343232953752375;-3.8266725515050135;-3.7355825992441694;-3.726830167245192;-3.3332712882729187;-5.049396865147026
